Date-month,High,Low,Precip
1-Jan,44,25,0.00
2-Jan,44,13,0.00
3-Jan,23,14,0.00
4-Jan,46,17,0.00
5-Jan,47,25,0.00
6-Jan,61,32,0.00
7-Jan,62,38,0.00
8-Jan,58,40,0.12
9-Jan,58,33,0.00
10-Jan,54,34,0.00
11-Jan,56,45,0.00
12-Jan,58,20,0.00
13-Jan,42,20,0.00
14-Jan,43,26,0.00
15-Jan,53,29,0.00
16-Jan,59,17,0.00
17-Jan,58,10,0.00
18-Jan,34,11,0.00
19-Jan,46,18,0.00
20-Jan,58,34,0.00
21-Jan,70,51,0.00
22-Jan,75,41,0.00
23-Jan,57,34,0.00
24-Jan,58,30,0.00
25-Jan,63,30,0.00
26-Jan,65,32,0.03
27-Jan,62,50,0.00
28-Jan,63,36,0.00
29-Jan,63,34,0.00
30-Jan,52,28,0.00
31-Jan,62,32,0.00
1-Feb,75,43,0.00
2-Feb,61,32,0.00
3-Feb,60,31,0.00
4-Feb,59,39,0.00
5-Feb,63,22,0.00
6-Feb,42,21,0.00
7-Feb,40,28,0.00
8-Feb,47,26,0.05
9-Feb,58,27,0.00
10-Feb,70,35,0.00
11-Feb,36,29,0.00
12-Feb,39,23,0.00
13-Feb,44,24,0.00
14-Feb,46,38,0.06
15-Feb,78,44,0.00
16-Feb,79,52,0.00
17-Feb,61,39,0.00
18-Feb,63,40,0.00
19-Feb,68,46,0.02
20-Feb,75,63,0.60
21-Feb,68,31,2.20
22-Feb,34,30,2.00
23-Feb,37,31,0.62
24-Feb,48,37,0.19
25-Feb,61,37,0.10
26-Feb,66,39,0.00
27-Feb,67,45,0.00
28-Feb,67,45,0.10
1-Mar,68,49,1.52
2-Mar,62,41,0.00
3-Mar,68,40,0.00
4-Mar,72,49,0.00
5-Mar,68,60,0.05
6-Mar,67,39,0.00
7-Mar,64,36,0.00
8-Mar,57,36,0.00
9-Mar,67,38,0.00
10-Mar,59,52,0.00
11-Mar,80,51,0.00
12-Mar,80,37,0.00
13-Mar,60,36,0.00
14-Mar,60,38,0.00
15-Mar,67,36,0.00
16-Mar,76,50,0.00
17-Mar,83,52,0.00
18-Mar,75,51,0.02
19-Mar,78,55,0.00
20-Mar,68,42,0.00
21-Mar,68,41,0.00
22-Mar,71,41,0.00
23-Mar,78,52,0.00
24-Mar,75,61,0.00
25-Mar,83,57,0.00
26-Mar,74,57,0.00
27-Mar,83,57,0.13
28-Mar,65,54,1.63
29-Mar,65,53,0.18
30-Mar,69,46,0.00
31-Mar,69,44,0.00
1-Apr,77,54,0.00
2-Apr,78,39,0.00
3-Apr,68,39,0.00
4-Apr,81,39,0.00
5-Apr,61,38,0.00
6-Apr,73,52,0.02
7-Apr,85,35,0.00
8-Apr,42,32,0.00
9-Apr,55,36,0.00
10-Apr,68,40,0.00
11-Apr,69,44,0.00
12-Apr,79,44,0.00
13-Apr,81,61,0.00
14-Apr,85,43,0.54
15-Apr,59,36,0.00
16-Apr,62,36,0.00
17-Apr,80,39,0.00
18-Apr,85,58,0.00
19-Apr,84,46,0.00
20-Apr,68,46,0.00
21-Apr,69,46,0.00
22-Apr,59,49,0.45
23-Apr,64,48,0.00
24-Apr,73,51,0.00
25-Apr,80,52,0.07
26-Apr,62,45,0.35
27-Apr,71,44,0.00
28-Apr,77,44,0.00
29-Apr,81,47,0.00
30-Apr,83,56,0.00
1-May,80,61,0.00
2-May,80,61,0.00
3-May,84,61,0.00
4-May,84,61,0.90
5-May,71,57,0.30
6-May,81,55,0.00
7-May,85,56,0.00
8-May,91,62,0.00
9-May,88,66,0.00
10-May,86,66,0.00
11-May,85,66,0.00
12-May,87,65,0.00
13-May,88,71,0.00
14-May,90,71,0.00
15-May,89,73,0.00
16-May,88,66,0.00
17-May,88,64,0.00
18-May,91,65,0.00
19-May,96,65,0.00
20-May,91,65,0.10
21-May,80,64,0.44
22-May,86,64,0.00
23-May,87,64,0.00
24-May,90,71,0.00
25-May,90,72,0.00
26-May,88,69,0.00
27-May,96,69,0.00
28-May,97,70,0.00
29-May,93,72,0.00
30-May,96,73,0.00
31-May,95,75,0.00
1-Jun,95,75,0.00
2-Jun,98,77,0.00
3-Jun,100,75,0.00
4-Jun,89,67,0.00
5-Jun,82,66,0.13
6-Jun,93,70,0.02
7-Jun,96,70,0.00
8-Jun,94,70,0.96
9-Jun,94,69,0.00
10-Jun,95,75,0.00
11-Jun,96,77,0.00
12-Jun,94,78,0.00
13-Jun,94,78,0.00
14-Jun,96,77,0.00
15-Jun,96,77,0.00
16-Jun,96,77,0.00
17-Jun,95,77,0.00
18-Jun,92,78,0.00
19-Jun,94,73,0.00
20-Jun,94,73,0.03
21-Jun,95,71,0.60
22-Jun,96,71,0.00
23-Jun,100,73,0.00
24-Jun,97,74,0.00
25-Jun,99,70,0.01
26-Jun,95,70,0.00
27-Jun,97,70,0.00
28-Jun,100,79,0.00
29-Jun,100,78,0.00
30-Jun,98,78,0.00
